lr_pairs_ligands,lr_pairs_receptors
CD70,CD27
ICAM3,ITGB2
HLA-DMA,CD4
HLA-DRA,CD4
CDH1,CDH1
CD86,CTLA4
ITGB2,CD226
ICAM3,ITGAL
CD80,CD28
CD86,CD28
CD28,CD80
IL10,IL10RA
TNFSF8,TNFRSF8
CD58,CD2
ITGAL,CD226
CD40LG,CD40
CD40,CD40LG
ALCAM,CD6
HLA-A,CD8A
HLA-F,CD8A
CD80,CTLA4
CXCL13,CXCR5
IL18,IL18RAP
IL2,IL2RA
IL2,IL2RB
ICAM2,ITGAL
LTA,TNFRSF14
LTA,TNFRSF1A
LTA,TNFRSF1B
ICOSLG,CD28
ICAM2,ITGB2
ICOSLG,ICOS
ITGB2,ICAM1
ICAM1,ITGB2
ITGAL,ICAM1
ICAM1,ITGAL
NECTIN3,NECTIN1
OCLN,OCLN
PDCD1LG2,PDCD1
PTPRC,CD22
CDH3,CDH3
CCL5,CCR1
CCL5,CCR5
CXCL16,CXCR6
F11R,F11R
FASLG,FAS
IFNG,IFNGR1
IL10,IL10RB
LTA,LTBR
CD274,PDCD1
SPN,SIGLEC1
NECTIN2,TIGIT
NECTIN2,CD226
IL2,IL2RG
F11R,ITGAL
TNFSF9,TNFRSF9
CXCL12,ACKR3
VWF,ITGAV
VEGFA,KDR
TGFB1,TGFBR2
F11R,JAM3
BMP2,BMPR2
TGFB1,TGFBR1
FN1,ITGB1
JAM2,ITGB1
JAM3,JAM2
JAM2,JAM3
TGFB2,TGFBR2
TGFB3,TGFBR2
COL1A1,ITGA10
FN1,ITGAV
JAM3,JAM3
CTF1,LIFR
OSM,OSMR
PTPRM,PTPRM
CXCL12,CXCR4
VEGFA,FLT1
VEGFB,FLT1
CTF1,IL6ST
FN1,ITGB3
PLEKHO2,PDGFRB
FN1,ITGA5
PDGFB,PDGFRB
TGFB2,TGFBR1
JAM3,ITGAM
TGFB3,TGFBR1
INHBA,ACVR1
JAM3,ITGB2
PDGFA,PDGFRB
IL1B,IL1R1
JAM2,JAM2
INHBB,ACVR2B
INHBA,ACVR2A
FN1,CD44
HGF,MET
INHBB,ACVR1
INHBA,ACVR1B
INHBA,ACVR2B
CADM1,CADM1
CDH5,CDH5
IL1B,IL1RAP
OSM,IL6ST
COL1A1,ITGA9
SPP1,ITGA9
OSM,LIFR
CD34,SELL
ITGA9,VCAM1
TNC,ITGA9
ITGB1,VCAM1
COL1A1,ITGA2
COL1A1,ITGAV
COL1A1,ITGB1
PDGFB,PDGFRA
COL1A1,ITGB8
INHBB,ACVR1B
COL1A1,ITGA1
FN1,ITGA3
FN1,ITGA8
TNC,ITGB3
VWF,ITGB3
FN1,ITGB8
CLCF1,LIFR
PDGFA,PDGFRA
FN1,SDC1
INHBB,ACVR2A
ESAM,ESAM
IL1A,IL1R1
SELPLG,SELP
SELP,SELPLG
SPP1,ITGB3
F11R,JAM2
TNFSF13,TNFRSF13B
TNFSF13,TNFRSF17
PDGFC,PDGFRA
TNFSF13B,TNFRSF13C
CD99,CD99
EDA,EDA2R
TSLP,IL7R
JAM2,ITGA4
TNC,ITGA8
TNFSF11,TNFRSF11B
CD80,CD274
CD274,CD80
IL23A,IL12RB1
TNC,ITGB6
IFNG,IFNGR2
FN1,ITGA2B
COMP,SDC1
TNFSF10,TNFRSF10D
ICOSLG,CTLA4
IL17B,IL17RB
CLCF1,IL6ST
VTN,ITGA2B
TNC,ITGAV
TNC,ITGB1
COL1A1,SDC1
CCL21,CCR7
NFASC,CNTNAP1
TNC,SDC1
COMP,ITGA2B
COMP,ITGA3
IL15,IL2RG
PVR,CD226
CCL17,CCR4
CCL22,CCR4
CSF1,CSF1R
ITGAM,ICAM1
IL6,IL6R
ICAM2,ITGAM
FN1,ITGB7
VCAM1,ITGB7
TNFSF4,TNFRSF4
IL12A,IL12RB2
IL21,IL21R
SPP1,ITGA4
IL7,IL7R
VCAM1,ITGA4
ITGA4,VCAM1
IL18,IL18R1
TNF,TNFRSF1B
FN1,ITGA4
CXCL9,CXCR3
CXCL10,CXCR3
IFNL1,IL10RB
TNF,TNFRSF1A
TNFSF14,TNFRSF14
VTN,ITGA8
CCL2,CCR2
IL15,IL2RB
CCL23,CCR1
COL1A1,CD44
IL6,IL6ST
SPP1,ITGAV
IL1A,IL1RAP
CXCL11,ACKR3
CSF3,CSF3R
CCL19,CCR7
COL1A1,ITGA11
LIF,LIFR
COMP,ITGAV
COMP,ITGB1
SELE,GLG1
LIF,IL6ST
TNFSF13B,TNFRSF17
TNFSF13B,TNFRSF13B
KITLG,KIT
IL21,IL2RG
BMP2,BMPR1A
COMP,CD47
COL1A1,ITGA3
CCL13,CCR2
CCL7,CCR2
VTN,ITGAV
SPP1,ITGB1
VTN,ITGB5
SPP1,ITGB5
FLT3LG,FLT3
NECTIN1,NECTIN1
F11R,ITGB2
VTN,ITGB3
COMP,CD36
IL11,IL6ST
LAMC3,ITGA1
LAMC3,ITGA2
LAMC3,ITGA6
LAMC3,ITGA9
LAMC3,ITGB1
CSF2,CSF2RB
IL15,IL15RA
LAMC3,DAG1
LAMC3,ITGA3
LAMC3,ITGAV
LAMC3,ITGB4
BMP2,ACVR1
LAMC3,CD44
COMP,ITGB3
BMP2,BMPR1B
IL11,IL11RA
LAMC3,ITGA7
LAMC3,ITGB8
VWF,ITGA2B
LRRC4B,PTPRF
LRRC4,NTNG2
TNFSF10,TNFRSF10A
IL1B,IL1R2
AGRN,DAG1
TNFSF14,LTBR
IL1A,IL1R2
CCL20,CCR6
TNFSF10,TNFRSF11B
NEGR1,NEGR1
SELPLG,SELE
MADCAM1,ITGA4
CXCL11,CXCR3
VTN,ITGB1
CCL7,CCR1
L1CAM,NCAM1
BMP7,ACVR2A
TNFSF10,TNFRSF10C
TNFSF18,TNFRSF18
CCL15,CCR1
TNFSF10,TNFRSF10B
TNFSF11,TNFRSF11A
TSLP,CRLF2
TNFSF12,TNFRSF12A
CSF2,CSF2RA
PVR,TIGIT
NECTIN2,NECTIN3
CX3CL1,CX3CR1
CDH2,CDH2
CCL14,CCR1
LTB,LTBR